año,alcaldia,colonia,bimestre,indice_des,CPDomestico,CTDomestico,CPNODomestico,CTNODomestico,CPMixto,CTMixto,consumo_total,consumo_prom
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,48.86,684.07,0.0,0.0,25.78,103.12,787.19,41.43
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,50.94,662.27,7.52,7.52,102.42,409.66,1079.45,59.97
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,79.69,717.23,5.18,10.36,73.41,587.26,1314.85,69.2
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,POPULAR,24.91,821.9,11.46,45.82,44.55,356.42,1224.14,27.2
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,51.08,357.53,14.97,14.97,69.07,621.61,994.11,58.48
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,37.58,488.55,1.22,1.22,44.31,398.81,888.58,38.63
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,74.17,296.66,32.94,32.94,57.39,746.04,1075.64,59.76
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,35.29,317.65,4.12,8.24,50.02,400.19,726.08,38.21
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,POPULAR,44.1,220.49,61.0,61.0,38.55,38.55,320.04,45.72
2019,AZCAPOTZALCO,PUEBLO SAN PEDRO XALPA,3,BAJO,18.61,2232.74,33.57,201.44,76.26,76.26,2510.44,19.77
